bsrm-1.t2.ucsd.edu	Ops	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/ops/TESTFILE
bsrm-1.t2.ucsd.edu	OSGEDU	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/osgedu/TESTFILE
bsrm-1.t2.ucsd.edu	OSG	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/osg/TESTFILE
bsrm-1.t2.ucsd.edu	Patriot	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/patriot/TESTFILE
bsrm-1.t2.ucsd.edu	SBGrid	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/sbgrid/TESTFILE
bsrm-1.t2.ucsd.edu	STAR	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/star/TESTFILE
bsrm-1.t2.ucsd.edu	Theory	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/theory/TESTFILE
calcfs2.math.tamu.edu	SURAGrid	srm://calcfs2.math.tamu.edu:8443/srm/v2/server?SFN=/data/suragrid/TESTFILE
charm.ucr.edu	ATLAS	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/other/TESTFILE
charm.ucr.edu	CDF	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/other/TESTFILE
charm.ucr.edu	CMS	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/cms/TESTFILE
charm.ucr.edu	Engage	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/engage/TESTFILE
charm.ucr.edu	Fermilab	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/other/TESTFILE
charm.ucr.edu	MIS	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/other/TESTFILE
charm.ucr.edu	NEBioGrid	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/other/TESTFILE
charm.ucr.edu	NYSGRID	srm://charm.ucr.edu:10443/srm/v2/server?SFN=/mnt/hadoop/other/TESTFILE
